REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
10865,4801,2004,VIRGINIA,VA,BOTETOURT,51023,15797
30517,49219,2012,WISCONSIN,WI,ROCK,55105,80690
6691,8065,2000,MISSISSIPPI,MS,ADAMS,28001,14879
1553,2970,2000,TENNESSEE,TN,GRUNDY,47061,4596
2858,2618,2008,MINNESOTA,MN,JACKSON,27063,5623
15941,10792,2004,WISCONSIN,WI,WAUPACA,55135,26974
4789,1831,2008,TENNESSEE,TN,FENTRESS,47049,6739
11274,13612,2020,VERMONT,VT,FRANKLIN,50011,26072
924,70,2016,TEXAS,TX,ARMSTRONG,48011,1021
13011,2990,2008,WYOMING,WY,CAMPBELL,56005,16385
3810,1737,2012,NEVADA,NV,HUMBOLDT,32013,5744
8698,9851,2004,CALIFORNIA,CA,SAN BENITO,6069,18725
30113,22442,2020,ILLINOIS,IL,LASALLE,17099,53591
6572,2861,2016,INDIANA,IN,SPENCER,18147,9979
19832,9334,2000,MISSOURI,MO,CAPE GIRARDEAU,29031,29859
3086,1425,2008,KANSAS,KS,LINN,20107,4617
35204,9851,2020,TENNESSEE,TN,BRADLEY,47011,45865
14637,4002,2000,TEXAS,TX,KERR,48265,19228
5859,2243,2020,VIRGINIA,VA,ALLEGHANY,51005,8203
6970,2658,2020,LOUISIANA,LA,FRANKLIN,22041,9720
2149,3533,2016,VIRGINIA,VA,MARTINSVILLE,51690,5907
14156,12565,2008,MICHIGAN,MI,IONIA,26067,27319
5880,2265,2012,TEXAS,TX,HOUSTON,48225,8214
6588,2769,2000,ALABAMA,AL,GENEVA,1061,9559
9382,5742,2008,KANSAS,KS,MIAMI,20121,15377
10711,8802,2008,VIRGINIA,VA,CULPEPER,51047,19741
11914,15960,2012,WASHINGTON,WA,GRAYS HARBOR,53027,28684
8325,7842,2008,SOUTH CAROLINA,SC,CHESTERFIELD,45025,16359
5534,5667,2012,ILLINOIS,IL,JO DAVIESS,17085,11429
4232,1813,2012,OKLAHOMA,OK,PAWNEE,40117,6045
4125,4954,2016,WISCONSIN,WI,BAYFIELD,55007,9529
7927,3976,2020,WISCONSIN,WI,KEWAUNEE,55061,12095
3433,3370,2004,VIRGINIA,VA,WESTMORELAND,51193,6848
13398,2486,2020,GEORGIA,GA,DAWSON,13085,16081
15690,7027,2020,TENNESSEE,TN,FAYETTE,47047,22984
12007,8866,2008,CALIFORNIA,CA,YUBA,6115,21401
10599,7840,2000,TEXAS,TX,SAN PATRICIO,48409,18699
12775,10784,2008,NORTH CAROLINA,NC,LEE,37105,23788
4473,4778,2008,INDIANA,IN,STARKE,18149,9466
834,324,2020,OREGON,OR,GILLIAM,41021,1178
11705,3134,2016,COLORADO,CO,ELBERT,8039,15978
5334,3381,2008,MISSOURI,MO,VERNON,29217,8878
49987,216119,2000,MARYLAND,MD,PRINCE GEORGE'S,24033,271909
3823,1430,2004,GEORGIA,GA,TOWNS,13281,5277
18438,7495,2004,KANSAS,KS,BUTLER,20015,26280
6524,4287,2020,GEORGIA,GA,MERIWETHER,13199,10877
30294,14193,2000,OREGON,OR,DOUGLAS,41019,47220
30768,27282,2016,INDIANA,IN,TIPPECANOE,18157,62515
1924,2121,2004,NORTH CAROLINA,NC,GATES,37073,4053
6796,1428,2012,TEXAS,TX,LAVACA,48285,8294
8763,9974,2008,MICHIGAN,MI,DELTA,26041,19064
13260,7526,2016,NEW YORK,NY,TIOGA,36107,22299
13974,32017,2000,NEW MEXICO,NM,SANTA FE,35049,49471
44428,34256,2004,FLORIDA,FL,CHARLOTTE,12015,79786
3365,5389,2008,SOUTH CAROLINA,SC,JASPER,45053,8854
11413,11193,2004,ILLINOIS,IL,MACOUPIN,17117,22785
21784,4491,2016,GEORGIA,GA,JACKSON,13157,27190
1728,277,2012,KANSAS,KS,SCOTT,20171,2052
2111,2095,2000,ARKANSAS,AR,SEVIER,5133,4293
4742,3117,2012,KANSAS,KS,LABETTE,20099,8037
8466,2742,2016,KANSAS,KS,ELLIS,20051,11947
581,233,2008,SOUTH DAKOTA,SD,SULLY,46119,823
85045,81074,2016,VIRGINIA,VA,CHESTERFIELD,51041,176461
5184,2145,2020,INDIANA,IN,VERMILLION,18165,7481
160445,81708,2004,GEORGIA,GA,GWINNETT,13135,243917
109866,56234,2004,OHIO,OH,BUTLER,39017,166802
23650,5669,2016,TEXAS,TX,HENDERSON,48213,30045
4258,2448,2016,NORTH CAROLINA,NC,PAMLICO,37137,6870
16408,14778,2000,WASHINGTON,WA,ISLAND,53029,33003
5067,1950,2000,OKLAHOMA,OK,WOODWARD,40153,7100
91489,126120,2020,COLORADO,CO,LARIMER,8069,224338
10459,1794,2020,UTAH,UT,SANPETE,49039,12625
18933,20907,2008,FLORIDA,FL,MONROE,12087,40272
47939,40299,2008,DELAWARE,DE,SUSSEX,10005,89070
8138,7540,2000,OKLAHOMA,OK,OSAGE,40113,15909
19419,13386,2016,MAINE,ME,AROOSTOOK,23003,35097
15888,4145,2020,NORTH CAROLINA,NC,ALEXANDER,37003,20236
1317,1017,2000,FLORIDA,FL,LIBERTY,12077,2410
49256,43506,2008,NEW YORK,NY,ONEIDA,36065,94313
54810,32182,2016,OHIO,OH,MEDINA,39103,91373
1356,227,2004,KANSAS,KS,HASKELL,20081,1599
13562,6999,2008,OHIO,OH,PREBLE,39135,21002
3451,1114,2000,TEXAS,TX,LAMB,48279,4598
26867,35221,2012,PENNSYLVANIA,PA,MONROE,42089,62917
1145,1107,2000,TENNESSEE,TN,MOORE,47127,2301
6020,3906,2000,INDIANA,IN,RANDOLPH,18135,10132
5912,4095,2012,IOWA,IA,DICKINSON,19059,10159
1727,423,2000,MONTANA,MT,PHILLIPS,30071,2228
5328,2086,2020,IOWA,IA,PAGE,19145,7528
16708,24023,2000,CONNECTICUT,CT,WINDHAM,9015,43963
9233,3791,2004,NEBRASKA,NE,ADAMS,31001,13286
974,429,2000,TEXAS,TX,COLLINGSWORTH,48087,1415
8624,5199,2016,KANSAS,KS,CRAWFORD,20037,14891
16481,9198,2012,OKLAHOMA,OK,PAYNE,40119,25679
67188,56448,2000,CALIFORNIA,CA,STANISLAUS,6099,128267
3714,1880,2012,ARIZONA,AZ,LA PAZ,4012,5717
5057,2070,2004,TEXAS,TX,FREESTONE,48161,7161
17375,19652,2008,NORTH CAROLINA,NC,WILSON,37195,37191
2109,8751,2000,VIRGINIA,VA,PETERSBURG,51730,11062
12611,3468,2004,GEORGIA,GA,JACKSON,13157,16170
1468,555,2004,IDAHO,ID,ADAMS,16003,2063
3159,1210,2000,KENTUCKY,KY,LESLIE,21131,4434
5611,4051,2004,SOUTH CAROLINA,SC,EDGEFIELD,45037,9746
4903,2742,2008,ARKANSAS,AR,POINSETT,5111,7928
117291,134686,2016,TEXAS,TX,FORT BEND,48157,262066
3089,817,2008,GEORGIA,GA,BACON,13005,3938
9440,5317,2012,KENTUCKY,KY,CALLOWAY,21035,15072
1049,630,2016,MINNESOTA,MN,TRAVERSE,27155,1798
1129,464,2004,SOUTH DAKOTA,SD,STANLEY,46117,1623
2604,1082,2004,NEVADA,NV,WHITE PINE,32033,3802
5587,2591,2000,INDIANA,IN,FRANKLIN,18047,8339
4897,1794,2008,IDAHO,ID,JEROME,16053,6847
34591,47855,2012,CONNECTICUT,CT,MIDDLESEX,9007,83538
10294,2112,2016,FLORIDA,FL,BAKER,12003,12634
19692,8802,2012,TEXAS,TX,VICTORIA,48469,28853
5743,5573,2000,MICHIGAN,MI,GLADWIN,26051,11629
13646,4983,2008,TEXAS,TX,RUSK,48401,18722
1112,384,2012,NEBRASKA,NE,FRANKLIN,31061,1536
6556,7512,2012,IOWA,IA,BOONE,19015,14388
4320,3047,2004,VIRGINIA,VA,GILES,51071,7498
4355,2650,2012,KENTUCKY,KY,SIMPSON,21213,7093
3109,426,2012,WYOMING,WY,CROOK,56011,3685
29764,39262,2004,GEORGIA,GA,RICHMOND,13245,69282
2443,749,2016,KENTUCKY,KY,GALLATIN,21077,3338
38332,63085,2012,ALABAMA,AL,MONTGOMERY,1101,101924
1883,2302,2012,SOUTH DAKOTA,SD,ROBERTS,46109,4256
5516,3134,2016,MINNESOTA,MN,AITKIN,27001,9231
159200,494165,2004,NEW YORK,NY,KINGS,36047,687780
